@relation trainingdata

@attribute Word numeric
@attribute Len numeric
@attribute 2let {ча,во,че,нь,бо,до,но,ок,ек,дь,ат,ут,ин,ца,ур,аз,ка,са,ра,ия,ен,ор,ит,ац,нт,ив,зм,ст,ие,аж,рт,ий,ос,ис,ют,ть,ер,кт,рд,сс,уг,их,ль,ал,жа,нс,на,ик,рс,за,од,та,ла,оз,ан,як,ус,ез,аф,ом,ир,из,ав,уб,ол,рк,от,ет,ег,оп,да,ип,он,ва,ма,ша,ог,тр,ум,ул,ид,пт,ех,ес,яр,па,ям,ил,рг,нг,вт,ук,кр,ар,ын,тм,ах,нж,юр,ьд,ов,фа,ба,ак,ас,уф,ел,кс,об,аг,вр,им,ьм,фм,ло,оф,юс,аш,мб,иф,ош,рь,аб,ап,уз,лл,ще,иг,ык,ьт,юк,фт,ев,ща,бр,ля,ся,уд,ян,ам,га,иш,йн,ед,нк,ня,еж,еф,ич,ск,нд,йт,нн,ха,ыл,чь,рц,мс,кл,пс,го,жь,йс,иц,юз,яд,то,эр,шь,дж,тт,нх,еп,ем,ун,рш,ря,зь,сь,ьс,мп,це,яг,ад,иб,ох,юд,вь,хт,рп,фь,рн,щь,зг,ыв,зд,ыш,юб,ух,ув,яж,уч,еб,ец,рм,уп,пь,яз,лс,юн,ьф,йм,др,мм,рф,мн,вк,рх,яп,фр,пп,яш,ач,ят,ож,йв,ыз,йф,лк,уш,эт,нр,зл,зо,юх,гс,лп,мь,ьц,пф,йд,бь,ым,еш,юш,нч,юв,рж,юм,шт,нц,тч,ьн,хо,яс,же,эс,ях,см,яц,ро,ыс,ыт,лм,ып,гр,рв,вх,гм,эп,оч,мо,сг,ых,рл,бс,кк,ыг,мт,иж,ьк,нш,лт,йх,сл,рб,кх,ьп,йр,яб,гд,рч,зн,нм,ищ,ьб,ыр,йп,рз,мф,вн,йц,гт,дт,лд,юп,нз,йк,ыб,ял,йл,ёв,ея,эн,пр,лз,ыч,ая,дл,эк,ай,цк,яя,еч,уя,ти,ки,зи,си,ко,ни,лг,ье,цо,ли,ку,ьо,зе,ьи,ью,ру,ри,би,тс,фи,ду,те,оа,ао,по,еу,уи,хс,йз,дс,ке,ши,тл,ми,ья,не,иа,жи}
@attribute Gender {ж,с,мо,м,жо,мо-жо,со}
@attribute Class {4а,1с,8а,1а,3*а,3а,2а,5а,7а}

@data
1,6,ча,ж,4а
2,7,во,с,1с
3,4,че,с,4а
4,6,нь,ж,8а
5,6,нь,ж,8а
6,4,бо,с,1с
7,4,до,с,1с
8,5,во,с,1с
9,6,но,с,1а
10,5,но,с,1с
11,7,ок,мо,3*а
12,9,ек,мо,3*а
13,7,ек,мо,3а
14,11,ек,мо,3а
15,15,ек,мо,3а
16,7,дь,мо,2а
17,4,ат,мо,1а
18,6,ут,м,1а
19,5,ин,мо,1а
20,6,ца,жо,5а
21,3,до,с,1а
22,6,ур,м,1а
23,4,аз,м,1а
24,8,ка,жо,3*а
25,5,ат,мо,1а
26,8,са,жо,1а
27,9,во,с,1а
28,12,ра,ж,1а
29,11,ия,ж,7а
30,9,ия,ж,7а
31,7,ен,м,1а
32,8,ор,м,1а
33,8,ия,ж,7а
34,6,ит,м,1а
35,9,ия,ж,7а
36,5,ац,м,5а
37,7,ин,м,1а
38,10,нт,мо,1а
39,12,ка,жо,3*а
40,12,ка,ж,3*а
41,7,ив,м,1а
42,6,ут,м,1а
43,7,ия,ж,7а
44,12,зм,м,1а
45,12,ст,мо,1а
46,8,ия,ж,7а
47,9,нт,м,1а
48,7,нт,мо,1а
49,9,ка,жо,3*а
50,12,ие,с,7а
51,7,аж,м,4а
52,8,ен,мо,1а
53,5,рт,м,1а
54,9,ий,м,7а
55,7,ив,м,1а
56,7,ия,ж,7а
57,11,ра,ж,1а
58,5,ек,мо,3а
59,7,ос,м,1а
60,11,ка,ж,3*а
61,9,ин,м,1а
62,5,ис,м,1а
63,6,нт,м,1а
64,10,зм,м,1а
65,10,ст,мо,1а
66,7,ют,м,1а
67,17,ие,с,7а
68,10,зм,м,1а
69,10,ст,мо,1а
70,12,ть,ж,8а
71,9,ия,ж,7а
72,9,нт,м,1а
73,8,ер,м,1а
74,9,ия,ж,7а
75,9,нт,мо,1а
76,15,ие,с,7а
77,8,кт,м,1а
78,13,ть,ж,8а
79,14,зм,м,1а
80,14,ст,мо,1а
81,10,ия,ж,7а
82,6,рд,м,1а
83,11,ть,ж,8а
84,7,сс,м,1а
85,8,са,ж,1а
86,6,ия,ж,7а
87,5,аз,мо,1а
88,7,ка,жо,3*а
89,5,уг,м,3а
90,7,их,м,3а
91,9,ия,ж,7а
92,7,ст,мо,1а
93,5,ль,м,2а
94,8,рд,м,1а
95,11,зм,м,1а
