@relation 'trainingnumbers.verb-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.Reorder-Rfirst,last,2'

@attribute Word numeric
@attribute 5let {овать,ичать,йкать,акать,аться,алеть,еться,лкать,ывать,укать,ахать,оветь,янеть,ацать,юкать,баять,егать,днеть,елеть,енеть,икать,ивать,евать,ухать,леять,стать,ждать,атеть,одать,олеть,лтать,осать,згать,ыкать,якать,яцать,ькать,уреть,ркать,алять,яться,ирать,ргать,ерять,язать,ибать,онять,игать,елать,ыхать,едать,нчать,треть,тшать,ереть,ешать,ещать,веять,имать,адать,ожать,увать,умать,ымать,езать,етать,окать,здать,преть,слеть,ыдать,зжать,грать,идать,илять,итать,хлять,апать,атать,ачать,епать,адеть,жнеть,ипать,лиять,япать,азать,инать,екать,агать,чтать,ужать,ыметь,очать,ицать,есать,лнять,ылать,сиять,ищать,паять,тлять,ихать,ягать,ядать,скать,утать,ащать,сеять,исать,ебать,отеть,ыпать,иветь,орать,ызать,улять,орять,елять,олять,знать,зреть,ябать,шлять,ючать,ырять,упать,мсать,глять,усать,ушать,изать,инять,арать,енять,рзать,огать,юхать,чкать,ясать,ытать,убать,угать,учать,меять,спеть,таять,снять,рпать,слять,вкать,олать,азеть,отать,упеть,убеть,опать,раять,охать,знеть,тнеть,мкать,стеть,рнеть,еветь,бреть,влеть,ылять,лбать,лжать,ажать,тлеть,ыгать,хлеть,южеть,лтеть,иреть,влять,асать,иметь,снеть,хтать,аветь,лаять,маять,длять,рцать,ирять,млеть,мшеть,еметь,енать,рхать,авать,лзать,ятать,пхать,тнать,рдеть,реять,обеть,ежеть,длать,инеть,ареть,мнеть,теять,яветь,хаять,илеть,юпать,одеть,омать,удать,тветь,чуять,зиять,злеть,блять,ваять,ьчать,ощать,млать,пчать,глеть,пнеть,гчать,ысеть,ютеть,рзеть,шкать,чнеть,юдать,ореть,плять,ртать,чхать,лдеть,осеть,есеть,юдеть,очеть,ожеть,ыбеть,уметь,ятеть,днять,анеть,млять,усеть,брять,блеть,урять,унать,удеть,ошать,длеть,ылеть,шлеть,вдать,епеть,рчать,абеть,клеть,ртеть,опеть,зветь,ыреть,аметь,ометь,ечать,птать,обать,внять,идеть,ймать,лнеть,едеть,ыжеть,ябеть,сметь,плеть,кнеть,жнять,ошеть,ьшать,арять,изеть,деять,онеть,ытеть,ишать,ьнять,юметь,чшать,дшать,чаять,ыбать,ндать,драть,юнеть}
@attribute Class {2а,1а,6а}

@data
1,овать,2а
2,овать,2а
3,овать,2а
4,овать,2а
5,ичать,1а
6,йкать,1а
7,акать,1а
8,овать,2а
9,аться,2а
10,ичать,1а
11,овать,2а
12,овать,2а
13,овать,2а
14,алеть,1а
15,еться,1а
16,лкать,1а
17,овать,2а
18,ичать,1а
19,овать,2а
20,овать,2а
21,овать,2а
22,овать,2а
23,ывать,1а
24,овать,2а
25,овать,2а
26,ывать,1а
27,овать,2а
28,овать,2а
29,овать,2а
30,укать,1а
31,укать,1а
32,аться,1а
33,овать,2а
34,ахать,1а
35,овать,2а
36,ахать,1а
37,аться,1а
38,ичать,1а
39,оветь,1а
40,янеть,1а
41,овать,2а
42,аться,2а
43,ичать,1а
44,ичать,1а
45,акать,1а
46,овать,2а
47,ичать,1а
48,овать,2а
49,овать,2а
50,аться,2а
51,овать,2а
52,аться,2а
53,ичать,1а
54,аться,1а
55,овать,2а
56,овать,2а
57,аться,2а
58,овать,2а
59,ичать,1а
60,овать,2а
61,ахать,1а
62,аться,1а
63,ацать,1а
64,аться,1а
65,юкать,1а
66,баять,6а
67,егать,1а
68,днеть,1а
69,овать,2а
70,овать,2а
71,ичать,1а
72,овать,2а
73,ичать,1а
74,ичать,1а
75,овать,2а
76,ичать,1а
77,овать,2а
78,елеть,1а
79,еться,1а
80,енеть,1а
81,овать,2а
82,аться,2а
83,ичать,1а
84,ичать,1а
85,овать,2а
86,ичать,1а
87,овать,2а
88,овать,2а
89,овать,2а
90,овать,2а
91,икать,1а
92,ивать,1а
93,овать,2а
94,аться,2а
95,евать,2а
96,овать,2а
97,оветь,1а
98,овать,2а
99,овать,2а
100,овать,2а
101,овать,2а
102,овать,2а
103,овать,2а
104,овать,2а
105,ухать,1а
106,овать,2а
107,днеть,1а
108,овать,2а
109,леять,6а
110,овать,2а
111,стать,1а
112,овать,2а
113,ждать,1а
114,атеть,1а
115,овать,2а
116,ичать,1а
117,овать,2а
118,одать,1а
119,аться,1а
120,овать,2а
121,овать,2а
122,олеть,1а
123,лтать,1а
124,аться,1а
125,овать,2а
126,овать,2а
127,ичать,1а
128,овать,2а
129,ичать,1а
130,овать,2а
131,ичать,1а
132,овать,2а
133,ивать,1а
134,аться,1а
135,овать,2а
136,ичать,1а
137,осать,1а
138,аться,1а
139,овать,2а
140,овать,2а
141,згать,6а
142,згать,1а
143,аться,6а
144,ыкать,1а
145,аться,1а
146,атеть,1а
147,якать,1а
148,аться,1а
149,яцать,1а
150,овать,2а
